# Lullaby — Apple review blockers, Shape A (local-only v1)
# TSV columns: order<TAB>slug<TAB>continue_on_blocked<TAB>title<TAB>goal
# Lines starting with # and blank lines are ignored. Keep goals on ONE line (no tabs inside fields).
01	reassure-safety-copy-and-draft-gate	true	Reassure safety copy and draft content gate	Remove or soften medical/clinical claims. Ensure Reassure clearly says it is general supportive information, not medical advice. Hide/gate draft/placeholder clinical content from public UI. Do not market as AI doctor/pediatrician. Do not wire a new AI system.
02	local-only-truthful-copy	true	Local-only truthful copy	Search app copy for caregiver/shared/sync/multi-device claims. Remove or soften any claim that is not technically true for local-only v1. Make local-only behavior honest where needed. Do not build sync.
03	settings-screen-from-home-header	true	Settings screen from Home/Tonight header	Add a dedicated Account/Settings screen reachable from Tonight/Home header account/settings icon. Do not add a fifth tab. Keep existing AccountSheet only if useful as quick sheet, but Settings must be reachable. Use existing navigation/theme patterns.
04	privacy-terms-support-about	true	Privacy Terms Support About	Add Privacy Policy link, Terms link, Support/Feedback contact, and About/version/build info in Settings. Use safe placeholder/configurable URLs if final URLs are missing. Do not hardcode secrets. Make links not crash if env values are absent.
05	account-logout-delete-account	true	Account logout and delete account path	Ensure logout is accessible. If account creation/sign-in is visible, add a clear Delete Account entry/path in Settings. Prefer real deletion if existing backend supports it safely. If real deletion is not implemented, add a request/initiation flow and clear manual follow-up, but do not pretend it is complete. Do not build huge backend sync.
06	baby-profile-edit	true	Baby profile edit	Add safe edit flow for baby name/date of birth if baby profile exists. Preserve existing data model. Avoid multiple babies for now.
07	revenuecat-safe-production	true	RevenueCat safe production behavior	Ensure paywall/subscription surfaces do not break Apple review. Restore purchases should be reachable and not crash if RevenueCat is disabled/unconfigured. Do not enable live paywall unless config/products are clearly production-ready. Add clear fallback UI for unconfigured payment state.
08	insights-error-empty-loading-states	true	Insights error empty loading states	Add catch/error/retry state for Insights/history load. Improve empty/loading states only where needed. Do not rewrite Insights architecture.
09	typecheck-env-docs-release-config	true	Typecheck env docs release config	Add npm run typecheck if missing. Update .env.example with required EXPO_PUBLIC variables. Check iOS permission strings/config, especially mic/recording. Do not run EAS submit. Do not change credentials. Write manual follow-ups for EAS/App Store Connect.
10	final-apple-review-smoke-report	false	Final Apple review smoke report	Run final read-only audit after all fixes. Create docs/apple-review-readiness.md with what was fixed, remaining manual tasks, exact commands to run, App Store Connect checklist, and TestFlight smoke checklist. This task may edit docs only.
